# Збережено автоматично — Лаб. 7
# SETTLEMENT;name;population;area;type;foundedYear;lat;lon
# CROSSROAD;name;streets(|-separated);lat;lon;regulated;veh/h;acc/y;ped/h

SETTLEMENT;Київ;3000881;839.0;Столиця;482;50.4501;30.5234
CROSSROAD;Хрещатик/Бессарабська;Хрещатик|Бессарабська пл.;50.4444;30.5206;true;3200;5;1800
CROSSROAD;Велика Васильківська/Льва Толстого;Велика Васильківська|Льва Толстого;50.4319;30.5172;true;2800;3;1500
CROSSROAD;Перехрестя-25;Вул. Б|Вул. Л;50.45001470183833;30.522311109684175;false;2881;12;22

SETTLEMENT;Харків;1412876;350.0;Велике місто;1654;49.9935;36.2304
CROSSROAD;Перехрестя-8;Вул. Г|Вул. С;49.9964306458199;36.22713240000402;true;2252;1;407
CROSSROAD;Перехрестя-9;Вул. Е|Вул. К;49.99598932696689;36.2297179156686;true;1222;8;1393
CROSSROAD;Перехрестя-37;Вул. Д|Вул. П;49.99723712120007;36.23179362839772;true;1766;8;429
CROSSROAD;Перехрестя-45;Вул. З|Вул. Р;49.99394382042644;36.23222425475174;true;282;6;1277

SETTLEMENT;Одеса;989612;162.0;Велике місто;1794;46.4825;30.7233

SETTLEMENT;Дніпро;1021312;405.0;Велике місто;1776;48.45;34.9981
CROSSROAD;Перехрестя-23;Вул. Б|Вул. К;48.452244770517495;34.999192153338846;true;215;10;1041

SETTLEMENT;Запоріжжя;707678;334.0;Велике місто;1770;47.8388;35.1396
CROSSROAD;Перехрестя-6;Вул. Ж|Вул. О;47.84058786210705;35.14124080747998;true;2139;10;372
CROSSROAD;Перехрестя-29;Вул. Д|Вул. О;47.83805096032865;35.139305443858916;true;3097;12;593

SETTLEMENT;Львів;703539;182.0;Велике місто;1256;49.8397;24.0297
CROSSROAD;Проспект Свободи/Дорошенка;Проспект Свободи|Дорошенка;49.8431;24.0267;false;1200;6;900
CROSSROAD;Перехрестя-8;Вул. Ж|Вул. О;49.83895267571004;24.028455073638547;false;1174;13;377
CROSSROAD;Перехрестя-21;Вул. З|Вул. У;49.83888580396232;24.030444094238604;false;737;3;741
CROSSROAD;Перехрестя-22;Вул. Й|Вул. Р;49.840491587832524;24.030095722756826;false;960;13;681
CROSSROAD;Перехрестя-40;Вул. Е|Вул. У;49.839461686023405;24.029105747070787;false;1192;5;455

SETTLEMENT;Біла Церква;208684;66.3;Місто;1032;49.2;28.8
CROSSROAD;Перехрестя-8;Вул. Б|Вул. Н;49.19740512793307;28.79791349647698;true;999;13;485
CROSSROAD;Перехрестя-13;Вул. З|Вул. Н;49.20089071319233;28.79845509972707;false;2986;0;85
CROSSROAD;Перехрестя-29;Вул. З|Вул. С;49.19674982209503;28.802353790801355;true;2266;6;1466
CROSSROAD;Перехрестя-35;Вул. Е|Вул. С;49.199613990933734;28.804038410905616;false;936;7;1063

SETTLEMENT;Васильків;36928;22.5;Місто;988;49.5;29.2
CROSSROAD;Перехрестя-26;Вул. З|Вул. О;49.50163733343489;29.1974515277086;true;2447;5;95
CROSSROAD;Перехрестя-35;Вул. Д|Вул. С;49.50199852575487;29.197959261036036;true;636;8;1413

SETTLEMENT;Узин;12283;8.1;Місто;1400;48.8;28.4

SETTLEMENT;Ходосівка;2870;4.2;Село;1650;49.05;31.9
CROSSROAD;Перехрестя-13;Вул. Е|Вул. Л;49.04965782245935;31.90119034036282;true;694;8;212
CROSSROAD;Перехрестя-19;Вул. Ж|Вул. Н;49.04858115112072;31.89982135023512;false;2607;0;139
CROSSROAD;Перехрестя-29;Вул. И|Вул. П;49.048148418281286;31.89962704169733;true;3078;7;878

SETTLEMENT;Григорівка;1211;2.1;Село;1820;49.55;36.8

SETTLEMENT;Шевченкове;3379;5.0;Село;1780;48.5;32.3
CROSSROAD;Перехрестя-24;Вул. В|Вул. У;48.49636138844706;32.30082113492175;false;1861;11;775
CROSSROAD;Перехрестя-27;Вул. В|Вул. Н;48.498681603111784;32.299202998980014;false;3186;2;653
CROSSROAD;Перехрестя-38;Вул. Б|Вул. К;48.501122029465826;32.2949892782483;false;569;11;114
CROSSROAD;Перехрестя-47;Вул. Д|Вул. С;48.50118391853927;32.30065758113094;false;857;12;268

SETTLEMENT;Малютянка;950;1.8;Село;1900;47.5;31.5
CROSSROAD;Перехрестя-49;Вул. Б|Вул. К;47.49964244803098;31.50035687939435;true;2723;12;113

